Назвнаие модели;Цена;Место продажи
Электронная книга TeXet TB-721HD;"
199 грн.
";Киев, Деснянский
Электронная книга e-book Assistant или на запчасти;"
200 грн.
";Киев, Шевченковский
Электронная книга Texet TB-840HD + DATA кабель + блок питания;"
250 грн.
";Николаев, Заводский
Tolino Vision 4 HD 8GB E-Reader електронна книжка HD E Ink Carta;"
599 грн.
";Львов, Галицкий
Электронная книга Prestigio Libretto PER3072B;"
500 грн.
";Мариуполь
Электронная книга, Электротехника;"
50 грн.
";Возрождения
Электронная книга;"
35 грн.
";Возрождения
Продам Lenovo A6000;"
500 грн.
";Хыров
Nextbook next7p12;"
350 грн.
";Мелитополь
Kindle Oasis. 10 поколение. Новый. 32 гб. Теплота подсветки. Гарантия;"
5 499 грн.
";Львов, Шевченковский
Электронная книга Kindle 4;"
700 грн.
";Житомир, Центр
Sony PRS-T2, електронная книга;"
1 200 грн.
";Киев, Шевченковский
Электронная книга PocketBook 624 сенсор Fb2 Читает все форматы;"
1 850 грн.
";Киев, Днепровский
Remarkable 2. Как новый. 10 дюймов. Стилус - Marker Plus и Чехол;"
17 999 грн.
";Львов, Шевченковский
Amazon kindle 7gen, 2014;"
1 899 грн.
";Киев, Днепровский
Электронная книга Amazon Kindle Paperwhite 10th Generation 8GB;"
3 640 грн.
";Киев, Голосеевский
Електронна книга PocketBook 628 Touch Lux 5 Ink Black/Red Нові;"
3 870 грн.
";Львов, Франковский
Pocketbook 741, InkPad 3, Pro;"
4 650 грн.
";Новояворовск
Электронная книга Amazon Kindle Touch E-Ink Pearl сенсонрая !;"
999 грн.
";Киев, Днепровский
"Электронная книга Большая 9,7"" Для школьных учебников CLASSIC PRO";"
3 300 грн.
";Киев, Днепровский
Amazon Kindle 5 gen D01100;"
700 грн.
";Киев, Деснянский
Электронная книга PocketBook 515 Mini;"
1 299 грн.
";Одесса, Суворовский
Amazon Kindle 2016. Гарантия. От магазина. Из США;"
499 грн.
";Львов, Галицкий
Amazon Kindle Touch. Сенсорный. Все форматы. Гарантия. От магазина.;"
499 грн.
";Львов, Галицкий
